"08940: Klimagasser, etter aar, statistikkvariabel og kilde (aktivitet)"

"aar";"Utslipp til luft (1 000 tonn CO2-ekvivalenter) 0 Alle kilder";"Utslipp til luft (1 000 tonn CO2-ekvivalenter) 1 Olje- og gassutvinning";"Utslipp til luft (1 000 tonn CO2-ekvivalenter) 2 Industri og bergverk";"Utslipp til luft (1 000 tonn CO2-ekvivalenter) 3 Energiforsyning";"Utslipp til luft (1 000 tonn CO2-ekvivalenter) 4 Oppvarming i andre naeringer og husholdninger";"Utslipp til luft (1 000 tonn CO2-ekvivalenter) 5 Veitrafikk";"Utslipp til luft (1 000 tonn CO2-ekvivalenter) 6 Luftfart, sjofart, fiske, motorredskaper m.m.";"Utslipp til luft (1 000 tonn CO2-ekvivalenter) 7 Jordbruk";"Utslipp til luft (1 000 tonn CO2-ekvivalenter) 9 Andre kilder"
"1990";51427;8179;19768;423;2708;7423;5302;4802;2823
"1991";49022;8062;18193;463;2448;7305;5112;4734;2704
"1992";47364;8651;15849;447;2235;7336;5465;4702;2679
"1993";49328;9171;16835;461;2261;7510;5669;4695;2726
"1994";51232;9957;17756;508;2279;7408;5862;4694;2770
"1995";51631;10135;17036;508;2320;7528;6558;4730;2815
"1996";54511;11024;17637;597;2853;7904;6965;4759;2773
"1997";54528;11524;17350;542;2415;7890;7251;4700;2856
"1998";54556;11186;17605;576;2185;8119;7467;4696;2722
"1999";55580;11688;17399;560;2423;8546;7530;4712;2721
"2000";54918;13032;17233;517;1870;8374;6502;4560;2830
"2001";56189;14008;16703;567;2081;8876;6592;4512;2850
"2002";55007;13720;15693;614;2261;8953;6550;4501;2715
"2003";55612;13876;15483;778;2653;9094;6474;4578;2676
"2004";56013;14106;15753;661;2263;9389;6586;4546;2709
"2005";54944;14074;15326;648;1783;9522;6430;4552;2609
"2006";54934;13683;14905;700;1881;9800;6788;4464;2712
"2007";56605;15140;14533;997;1677;10033;7025;4459;2742
"2008";55131;14843;14062;853;1498;9898;6807;4440;2731
"2009";52672;13748;11490;2095;1635;9745;6753;4425;2780
"2010";54938;13929;12241;2450;1933;9995;7196;4349;2847
"2011";53990;13625;12240;2225;1402;9934;7304;4316;2944
"2012";53417;13732;11953;1734;1280;9966;7494;4337;2921
"2013";53671;13672;12019;1750;1224;10014;7614;4389;2989
"2014";54041;14369;11652;1767;1010;10228;7675;4456;2885
"2015";54489;14889;11956;1762;904;10262;7479;4523;2713
"2016";53586;14562;11593;1744;1008;9997;7395;4577;2710
"2017";52840;14316;11936;1876;886;9122;7500;4552;2652
"2018";52871;14130;11960;1862;750;9361;7695;4530;2581
"2019";51086;13930;11588;1711;583;8722;7629;4505;2418
"2020";49283;13207;11418;1669;533;8376;7274;4494;2312
