År;Innbyggere
1749;1764724
1750;1780678
1751;1802132
1752;1816703
1753;1837869
1754;1857047
1755;1875029
1756;1889424
1757;1892990
1758;1893444
1759;1905866
1760;1925248
1761;1942257
1762;1949359
1763;1952238
1764;1966190
1765;1976824
1766;1992142
1767;2009596
1768;2020546
1769;2030491
1770;2042574
1771;2050680
1772;2032235
1773;1977205
1774;2000208
1775;2020847
1776;2041289
1777;2057147
1778;2073296
1779;2089624
1780;2118281
1781;2132912
1782;2140986
1783;2143570
1784;2145213
1785;2149773
1786;2163415
1787;2178403
1788;2192760
1789;2188962
1790;2187732
1791;2202319
1792;2229343
1793;2250919
1794;2272890
1795;2281137
1796;2300793
1797;2322814
1798;2344228
1799;2356993
1800;2347303
1801;2354952
1802;2372216
1803;2388619
1804;2403814
1805;2422039
1806;2428734
1807;2439599
1808;2427592
1809;2394101
1810;2396351
1811;2411382
1812;2418780
1813;2423949
1814;2438241
1815;2465066
1816;2497484
1817;2521442
1818;2546411
1819;2561780
1820;2584690
1821;2610870
1822;2646314
1823;2689031
1824;2726877
1825;2771252
1826;2804926
1827;2827719
1828;2846788
1829;2863132
1830;2888082
1831;2901039
1832;2922801
1833;2959141
1834;2983055
1835;3025439
1836;3059356
1837;3076184
1838;3090262
1839;3106459
1840;3138887
1841;3173160
1842;3206776
1843;3236632
1844;3275133
1845;3316536
1846;3342927
1847;3362072
1848;3397454
1849;3441286
1850;3482541
1851;3516647
1852;3540409
1853;3563316
1854;3608124
1855;3641011
1856;3672988
1857;3687601
1858;3734240
1859;3787735
1860;3859728
1861;3917339
1862;3965899
1863;4022564
1864;4070061
1865;4114141
1866;4160677
1867;4195681
1868;4173080
1869;4158757
1870;4168525
1871;4204177
1872;4250412
1873;4297972
1874;4341559
1875;4383291
1876;4429713
1877;4484542
1878;4531863
1879;4578901
1880;4565668
1881;4572245
1882;4579115
1883;4603595
1884;4644448
1885;4682769
1886;4717189
1887;4734901
1888;4748257
1889;4774409
1890;4784981
1891;4802751
1892;4806865
1893;4824150
1894;4873183
1895;4919260
1896;4962568
1897;5009632
1898;5062918
1899;5097402
1900;5136441
1901;5175228
1902;5198752
1903;5221291
1904;5260811
1905;5294885
1906;5337055
1907;5377713
1908;5429600
1909;5476441
1910;5522403
1911;5561799
1912;5604192
1913;5638583
1914;5679607
1915;5712740
1916;5757566
1917;5800847
1918;5813850
1919;5847037
1920;5904489
1921;5954316
1922;5987520
1923;6005759
1924;6036118
1925;6053562
1926;6074368
1927;6087923
1928;6105190
1929;6120080
1930;6142191
1931;6162446
1932;6190364
1933;6211566
1934;6233090
1935;6250506
1936;6266888
1937;6284722
1938;6310214
1939;6341303
1940;6371432
1941;6406474
1942;6458200
1943;6522827
1944;6597348
1945;6673749
1946;6763685
1947;6842046
1948;6924888
1949;6986181
1950;7041829
1951;7098740
1952;7150606
1953;7192316
1954;7234664
1955;7290112
1956;7338991
1957;7388611
1958;7429675
1959;7462823
1960;7497967
1961;7542028
1962;7581148
1963;7627507
1964;7695200
1965;7772506
1966;7843088
1967;7892774
1968;7931193
1969;8004270
1970;8081229
1971;8115165
1972;8129129
1973;8144428
1974;8176691
1975;8208442
1976;8236179
1977;8267116
1978;8284437
1979;8303010
1980;8317937
1981;8323033
1982;8327484
1983;8330573
1984;8342621
1985;8358139
1986;8381515
1987;8414083
1988;8458888
1989;8527036
1990;8590630
1991;8644119
1992;8692013
1993;8745109
1994;8816381
1995;8837496
1996;8844499
1997;8847625
1998;8854322
1999;8861426
2000;8882792
2001;8909128
2002;8940788
2003;8975670
2004;9011392
2005;9047752
2006;9113257
2007;9182927
2008;9256347
2009;9340682
2010;9415570
2011;9482855
2012;9555893
2013;9644864
2014;9747355
2015;9851017
2016;9995153
2017;10120242
2018;10230185
2019;10327589
2020;10379295
2021;10452326
